Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
BernoulliNB,0.8974358974358975,0.8796296296296297,0.8796296296296298,0.8974358974358975,0.0
SVC,0.9230769230769231,0.875,0.875,0.9196067090803933,0.020442962646484375
NearestCentroid,0.9230769230769231,0.875,0.875,0.9196067090803933,0.03273487091064453
XGBClassifier,0.8717948717948718,0.8611111111111112,0.8611111111111112,0.8731494920174168,0.02399730682373047
SGDClassifier,0.8717948717948718,0.8611111111111112,0.8611111111111112,0.8731494920174168,0.0
LogisticRegression,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.007998228073120117
ExtraTreesClassifier,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.0676717758178711
AdaBoostClassifier,0.8717948717948718,0.837962962962963,0.837962962962963,0.8701733049559135,0.0719139575958252
LinearSVC,0.8717948717948718,0.837962962962963,0.837962962962963,0.8701733049559135,0.007998466491699219
GaussianNB,0.8717948717948718,0.837962962962963,0.837962962962963,0.8701733049559135,0.0118560791015625
CalibratedClassifierCV,0.8974358974358975,0.8333333333333333,0.8333333333333334,0.8907161803713527,0.015627145767211914
LinearDiscriminantAnalysis,0.8974358974358975,0.8333333333333333,0.8333333333333334,0.8907161803713527,0.0
RidgeClassifierCV,0.8974358974358975,0.8333333333333333,0.8333333333333334,0.8907161803713527,0.0
RidgeClassifier,0.8974358974358975,0.8333333333333333,0.8333333333333334,0.8907161803713527,0.015619754791259766
LGBMClassifier,0.8461538461538461,0.8194444444444444,0.8194444444444444,0.8461538461538461,0.023744583129882812
RandomForestClassifier,0.8461538461538461,0.8194444444444444,0.8194444444444444,0.8461538461538461,0.10693120956420898
NuSVC,0.8717948717948718,0.8148148148148148,0.8148148148148149,0.8660111818006555,0.015723705291748047
Perceptron,0.7948717948717948,0.7824074074074074,0.7824074074074074,0.7988165680473372,0.008022785186767578
BaggingClassifier,0.7692307692307693,0.7638888888888888,0.7638888888888888,0.77526395173454,0.016313791275024414
LabelPropagation,0.7948717948717948,0.7592592592592593,0.7592592592592593,0.7948717948717948,0.007969141006469727
LabelSpreading,0.7948717948717948,0.7592592592592593,0.7592592592592593,0.7948717948717948,0.007997512817382812
KNeighborsClassifier,0.8461538461538461,0.75,0.75,0.8282051282051281,0.008031845092773438
PassiveAggressiveClassifier,0.7692307692307693,0.7407407407407407,0.7407407407407409,0.7716690856313497,0.008392095565795898
ExtraTreeClassifier,0.6923076923076923,0.7083333333333333,0.7083333333333334,0.7038461538461538,0.007998228073120117
DecisionTreeClassifier,0.6923076923076923,0.6388888888888888,0.6388888888888888,0.6923076923076923,0.0
QuadraticDiscriminantAnalysis,0.3333333333333333,0.5185185185185185,0.5185185185185185,0.1971428571428571,0.00797724723815918
DummyClassifier,0.6923076923076923,0.5,0.5,0.5664335664335665,0.008090496063232422
