Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
SGDClassifier,0.9487179487179487,0.9398148148148148,0.9398148148148147,0.9487179487179487,0.015520811080932617
RandomForestClassifier,0.9487179487179487,0.9398148148148148,0.9398148148148147,0.9487179487179487,0.12713313102722168
LGBMClassifier,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.92388969521045,0.024012327194213867
XGBClassifier,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.92388969521045,0.04239964485168457
LogisticRegression,0.9487179487179487,0.9166666666666667,0.9166666666666667,0.9473026973026972,0.0
NuSVC,0.9487179487179487,0.9166666666666667,0.9166666666666667,0.9473026973026972,0.01572108268737793
NearestCentroid,0.9487179487179487,0.9166666666666667,0.9166666666666667,0.9473026973026972,0.03223419189453125
LinearSVC,0.9487179487179487,0.9166666666666667,0.9166666666666667,0.9473026973026972,0.007995843887329102
ExtraTreesClassifier,0.9487179487179487,0.9166666666666667,0.9166666666666667,0.9473026973026972,0.06666350364685059
CalibratedClassifierCV,0.9487179487179487,0.9166666666666667,0.9166666666666667,0.9473026973026972,0.01563119888305664
GaussianNB,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.0
BernoulliNB,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.015698671340942383
QuadraticDiscriminantAnalysis,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.004395008087158203
KNeighborsClassifier,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.01712775230407715
PassiveAggressiveClassifier,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.0
LinearDiscriminantAnalysis,0.9230769230769231,0.875,0.875,0.9196067090803933,0.007973194122314453
RidgeClassifier,0.9230769230769231,0.875,0.875,0.9196067090803933,0.0
RidgeClassifierCV,0.9230769230769231,0.875,0.875,0.9196067090803933,0.0
SVC,0.9230769230769231,0.875,0.875,0.9196067090803933,0.0
LabelSpreading,0.8717948717948718,0.8611111111111112,0.8611111111111112,0.8731494920174168,0.008028030395507812
LabelPropagation,0.8717948717948718,0.8611111111111112,0.8611111111111112,0.8731494920174168,0.011089086532592773
Perceptron,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.017137765884399414
BaggingClassifier,0.8461538461538461,0.8425925925925926,0.8425925925925926,0.8491124260355029,0.004254341125488281
ExtraTreeClassifier,0.8461538461538461,0.8194444444444444,0.8194444444444444,0.8461538461538461,0.007980585098266602
DecisionTreeClassifier,0.7692307692307693,0.787037037037037,0.787037037037037,0.7773507280896444,0.00600886344909668
AdaBoostClassifier,0.8205128205128205,0.7777777777777777,0.7777777777777778,0.8182426269382791,0.07209014892578125
DummyClassifier,0.6923076923076923,0.5,0.5,0.5664335664335665,0.00814962387084961
