Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.9487179487179487,0.9398148148148148,0.9398148148148147,0.9487179487179487,0.05214357376098633
DecisionTreeClassifier,0.8974358974358975,0.9027777777777777,0.9027777777777777,0.8994082840236686,0.008013486862182617
LGBMClassifier,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.04000353813171387
BernoulliNB,0.8717948717948718,0.8611111111111112,0.8611111111111112,0.8731494920174168,0.008037328720092773
BaggingClassifier,0.8717948717948718,0.8611111111111112,0.8611111111111112,0.8731494920174168,0.028369665145874023
LogisticRegression,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.01599597930908203
SVC,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.00800180435180664
SGDClassifier,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.015998363494873047
RidgeClassifierCV,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.00798177719116211
RidgeClassifier,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.018332242965698242
RandomForestClassifier,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.1679213047027588
Perceptron,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.007997274398803711
PassiveAggressiveClassifier,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.015995264053344727
NuSVC,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.010020017623901367
LinearSVC,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.007985353469848633
LinearDiscriminantAnalysis,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.018294334411621094
GaussianNB,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.010256528854370117
CalibratedClassifierCV,0.8974358974358975,0.8564814814814814,0.8564814814814814,0.8946053946053946,0.03434419631958008
NearestCentroid,0.8717948717948718,0.837962962962963,0.837962962962963,0.8701733049559135,0.06639623641967773
QuadraticDiscriminantAnalysis,0.8717948717948718,0.837962962962963,0.837962962962963,0.8701733049559135,0.00800180435180664
ExtraTreesClassifier,0.8461538461538461,0.8194444444444444,0.8194444444444444,0.8461538461538461,0.1306767463684082
KNeighborsClassifier,0.8717948717948718,0.8148148148148148,0.8148148148148149,0.8660111818006555,0.018347978591918945
AdaBoostClassifier,0.8205128205128205,0.8009259259259259,0.8009259259259259,0.8224092888243831,0.10857629776000977
LabelSpreading,0.7948717948717948,0.7592592592592593,0.7592592592592593,0.7948717948717948,0.010175943374633789
LabelPropagation,0.7948717948717948,0.7592592592592593,0.7592592592592593,0.7948717948717948,0.0021185874938964844
ExtraTreeClassifier,0.7435897435897436,0.6990740740740741,0.699074074074074,0.7435897435897436,0.014611482620239258
DummyClassifier,0.6923076923076923,0.5,0.5,0.5664335664335665,0.008008956909179688
