Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.9743589743589743,0.9814814814814814,0.9814814814814814,0.9746298984034834,0.03763580322265625
LGBMClassifier,0.9743589743589743,0.9583333333333333,0.9583333333333333,0.9740346609911827,0.024000167846679688
Perceptron,0.9230769230769231,0.9444444444444444,0.9444444444444444,0.9250879839115134,0.00686335563659668
RandomForestClassifier,0.9230769230769231,0.9444444444444444,0.9444444444444444,0.9250879839115134,0.10813283920288086
SGDClassifier,0.9487179487179487,0.9398148148148148,0.9398148148148147,0.9487179487179487,0.015533447265625
AdaBoostClassifier,0.9487179487179487,0.9398148148148148,0.9398148148148147,0.9487179487179487,0.0720975399017334
BernoulliNB,0.9487179487179487,0.9398148148148148,0.9398148148148147,0.9487179487179487,0.007999658584594727
LinearSVC,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.92388969521045,0.007895946502685547
GaussianNB,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.92388969521045,0.0
LabelPropagation,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.92388969521045,0.011774539947509766
LabelSpreading,0.9230769230769231,0.9212962962962963,0.9212962962962963,0.92388969521045,0.0065097808837890625
KNeighborsClassifier,0.9487179487179487,0.9166666666666667,0.9166666666666667,0.9473026973026972,0.015628337860107422
QuadraticDiscriminantAnalysis,0.8974358974358975,0.9027777777777777,0.9027777777777777,0.8994082840236686,0.008001327514648438
ExtraTreesClassifier,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.07418608665466309
RidgeClassifier,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.01572728157043457
SVC,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.0
LogisticRegression,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.00799703598022461
NearestCentroid,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.0423436164855957
CalibratedClassifierCV,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.016188383102416992
LinearDiscriminantAnalysis,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.008117437362670898
RidgeClassifierCV,0.9230769230769231,0.8981481481481481,0.8981481481481481,0.9221039829735482,0.0
PassiveAggressiveClassifier,0.8974358974358975,0.8796296296296297,0.8796296296296298,0.8974358974358975,0.015719890594482422
BaggingClassifier,0.8974358974358975,0.8796296296296297,0.8796296296296298,0.8974358974358975,0.01598191261291504
NuSVC,0.9230769230769231,0.875,0.875,0.9196067090803933,0.0
DecisionTreeClassifier,0.8461538461538461,0.7962962962962963,0.7962962962962964,0.8419080919080918,0.0
ExtraTreeClassifier,0.7948717948717948,0.7592592592592593,0.7592592592592593,0.7948717948717948,0.008009195327758789
DummyClassifier,0.6923076923076923,0.5,0.5,0.5664335664335665,0.008075714111328125
